epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6478788256645203,2.9999999242136255e-05,1.3522720336914062,0.6918745040893555,1.275151014328003
1,0.6815765500068665,2.9999999242136255e-05,1.2773823738098145,0.7031375765800476,1.2587950229644775
2,0.6993280649185181,2.9999999242136255e-05,1.2417269945144653,0.7127916216850281,1.2376514673233032
3,0.7219938039779663,2.9999999242136255e-05,1.1875264644622803,0.7240546941757202,1.2216734886169434
4,0.7381405830383301,2.9999999242136255e-05,1.1534011363983154,0.7296862602233887,1.2050660848617554
5,0.7554908990859985,2.9999999242136255e-05,1.11906099319458,0.7361223101615906,1.175181269645691
6,0.767325222492218,2.9999999242136255e-05,1.0918810367584229,0.7288817167282104,1.1910983324050903
7,0.7801624536514282,2.9999999242136255e-05,1.0706967115402222,0.7401447892189026,1.157492756843567
8,0.7973122000694275,2.9999999242136255e-05,1.0336438417434692,0.7409493327140808,1.150015950202942
9,0.8079430460929871,2.9999999242136255e-05,1.008294701576233,0.7345132827758789,1.1568927764892578
10,0.8214823007583618,2.9999999242136255e-05,0.9853637218475342,0.7594529390335083,1.1325739622116089
11,0.8234881162643433,2.9999999242136255e-05,0.9731292724609375,0.7666934728622437,1.1350784301757812
12,0.8373282551765442,2.9999999242136255e-05,0.9491509795188904,0.7691069841384888,1.1170884370803833
13,0.8482599258422852,2.9999999242136255e-05,0.9252261519432068,0.7731295228004456,1.1170549392700195
14,0.8630027174949646,2.9999999242136255e-05,0.9039387106895447,0.7723250389099121,1.114341378211975
15,0.866212010383606,2.9999999242136255e-05,0.8887679576873779,0.7763475179672241,1.1127655506134033
16,0.8749372959136963,2.9999999242136255e-05,0.8728172779083252,0.7731295228004456,1.1068029403686523
17,0.8834620118141174,2.9999999242136255e-05,0.8543981909751892,0.7747385501861572,1.1043875217437744
18,0.8944940567016602,2.9999999242136255e-05,0.8399221897125244,0.7876105904579163,1.0869697332382202
19,0.9013137817382812,2.9999999242136255e-05,0.82540363073349,0.7884151339530945,1.0887569189071655
20,0.9091364741325378,2.9999999242136255e-05,0.8135327100753784,0.7851970791816711,1.076956868171692
21,0.9126466512680054,2.9999999242136255e-05,0.8020583987236023,0.791633129119873,1.0627856254577637
22,0.9195667505264282,2.9999999242136255e-05,0.7871940732002258,0.7956556677818298,1.0664162635803223
23,0.9211714267730713,2.9999999242136255e-05,0.7835515141487122,0.7932421565055847,1.0674694776535034
24,0.9293952584266663,2.9999999242136255e-05,0.765442430973053,0.798069179058075,1.0425137281417847
25,0.9315013289451599,2.9999999242136255e-05,0.7633821964263916,0.8004826903343201,1.0551785230636597
26,0.9394243359565735,2.9999999242136255e-05,0.7459821701049805,0.7932421565055847,1.0502634048461914
27,0.9392237663269043,2.9999999242136255e-05,0.7421716451644897,0.8004826903343201,1.0508331060409546
28,0.9505566358566284,7.499999810534064e-06,0.7197360396385193,0.7996782064437866,1.0386334657669067
29,0.9550697207450867,7.499999810534064e-06,0.7106321454048157,0.806918740272522,1.0413507223129272
30,0.9568749666213989,7.499999810534064e-06,0.7106872797012329,0.8020917177200317,1.0395917892456055
31,0.9553705453872681,7.499999810534064e-06,0.7109169363975525,0.8045052289962769,1.027517557144165
32,0.9591816067695618,7.499999810534064e-06,0.7046040892601013,0.8012872338294983,1.0338302850723267
33,0.9571757912635803,7.499999810534064e-06,0.7027871608734131,0.8053097128868103,1.0299183130264282
34,0.9591816067695618,7.499999810534064e-06,0.7019702792167664,0.8028962016105652,1.0296449661254883
35,0.9612877368927002,1.874999952633516e-06,0.6952325105667114,0.8045052289962769,1.0256601572036743
36,0.9616888761520386,1.874999952633516e-06,0.6967211961746216,0.806918740272522,1.0247148275375366
