epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.5376312136650085,9.999999747378752e-06,1.3938151597976685,0.5216346383094788,1.6174321174621582
1,0.5761119723320007,9.999999747378752e-06,1.2262811660766602,0.5544871687889099,1.4704123735427856
2,0.5944027900695801,9.999999747378752e-06,1.1504937410354614,0.5809294581413269,1.3548696041107178
3,0.6142928600311279,9.999999747378752e-06,1.0826212167739868,0.59375,1.3032596111297607
4,0.6242878437042236,9.999999747378752e-06,1.0320841073989868,0.59375,1.2822301387786865
5,0.6374812722206116,9.999999747378752e-06,0.9986909031867981,0.6009615659713745,1.2543773651123047
6,0.6491754055023193,9.999999747378752e-06,0.9603652358055115,0.6001602411270142,1.247286081314087
7,0.6551724076271057,9.999999747378752e-06,0.9222046136856079,0.6057692170143127,1.234762191772461
8,0.6629685163497925,9.999999747378752e-06,0.8991241455078125,0.6073718070983887,1.2201566696166992
9,0.67436283826828,9.999999747378752e-06,0.8766911625862122,0.6081730723381042,1.2199885845184326
10,0.6776611804962158,9.999999747378752e-06,0.857322633266449,0.6097756624221802,1.2102632522583008
11,0.6893553137779236,9.999999747378752e-06,0.8242718577384949,0.6121794581413269,1.2154202461242676
12,0.6901549100875854,9.999999747378752e-06,0.815858781337738,0.6193910241127014,1.1923828125
13,0.7044478058815002,9.999999747378752e-06,0.7829216122627258,0.629807710647583,1.1905059814453125
14,0.7028485536575317,9.999999747378752e-06,0.7747637629508972,0.6274038553237915,1.192189335823059
