epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.40535837411880493,0.0010000000474974513,1.692503809928894,0.4821428656578064,1.5009814500808716
1,0.5354906320571899,0.0010000000474974513,1.307576298713684,0.5405844449996948,1.3188832998275757
2,0.5897703766822815,0.0010000000474974513,1.1553666591644287,0.5681818127632141,1.2254449129104614
3,0.6249130368232727,0.0010000000474974513,1.0364704132080078,0.5844155550003052,1.1610074043273926
4,0.6447460055351257,0.0010000000474974513,0.9808363318443298,0.6152597665786743,1.1407978534698486
5,0.6746694445610046,0.0010000000474974513,0.891973614692688,0.5892857313156128,1.1847636699676514
6,0.6913709044456482,0.0010000000474974513,0.8536389470100403,0.5941558480262756,1.1843148469924927
7,0.7414752840995789,0.0003000000142492354,0.7086625099182129,0.6168830990791321,1.171431303024292
8,0.749130129814148,0.0003000000142492354,0.6954771280288696,0.6266233921051025,1.161901831626892
9,0.7814891934394836,9.000000136438757e-05,0.6188158392906189,0.6266233921051025,1.1474348306655884
