epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.4222888648509979,0.0010000000474974513,1.8023056983947754,0.4951923191547394,1.4616550207138062
1,0.5088455677032471,0.0010000000474974513,1.4517467021942139,0.5256410241127014,1.3422707319259644
2,0.5433283448219299,0.0010000000474974513,1.3234962224960327,0.5480769276618958,1.336663007736206
3,0.563518226146698,0.0010000000474974513,1.2475731372833252,0.5616987347602844,1.2952394485473633
4,0.5898051261901855,0.0010000000474974513,1.1524016857147217,0.5552884340286255,1.2704764604568481
5,0.5965017676353455,0.0010000000474974513,1.12509286403656,0.5697115659713745,1.2913644313812256
6,0.6191903948783875,0.0010000000474974513,1.071216106414795,0.5560897588729858,1.2838658094406128
7,0.6561719179153442,0.0003000000142492354,0.9315869212150574,0.5993589758872986,1.2120155096054077
8,0.6752623915672302,0.0003000000142492354,0.8649110198020935,0.6025640964508057,1.1990123987197876
9,0.6822588443756104,0.0003000000142492354,0.832219660282135,0.6121794581413269,1.1938997507095337
10,0.7013493180274963,0.0003000000142492354,0.7881115674972534,0.6193910241127014,1.207218885421753
11,0.7062468528747559,0.0003000000142492354,0.7799059748649597,0.620192289352417,1.1855201721191406
12,0.7192403674125671,0.0003000000142492354,0.7355843186378479,0.6274038553237915,1.1761339902877808
13,0.7281359434127808,0.0003000000142492354,0.7079355120658875,0.6225961446762085,1.2145448923110962
14,0.7298350930213928,0.0003000000142492354,0.7155683636665344,0.6209936141967773,1.1751163005828857
15,0.7347326278686523,0.0003000000142492354,0.6733313202857971,0.6169871687889099,1.1984533071517944
16,0.7385307550430298,0.0003000000142492354,0.6671239733695984,0.6225961446762085,1.1850693225860596
